m_id,t_text,m_text,l_text,l_score
1900370146033885321,"Trump: ""I invaded Los Angeles and we opened up the water and the water is now flowing down. They have so much water they don't know what to do ... we broke in to do it."" https://t.co/p2A8Yql9VN",@atrupar @grok fact check,"- Trump’s claim “I invaded Los Angeles and we opened up the water” is likely false per evidence.  
- No military invasion of LA occurred; water was released from Central Valley dams, not LA.  
- Release didn’t aid LA firefighting, aimed at agriculture, and risked flooding farms.  
- Statement misleads by mixing regions and exaggerating impact.",10.0
1934234672747135408,"people be like ""grok is this real"" https://t.co/rXN4zxBqH2",@sushilaps @grok  is this real,"The image you asked about isn't real. It depicts a creature called Boneca Ambalabu, part of the ""Italian Brainrot"" meme trend from early 2025, featuring AI-generated surreal characters for humor. The frog head, tire body, and human legs are biologically impossible. Sources like Wikipedia and Know Your Meme confirm it's fictional. Some YouTube videos claim it's real, but they're likely satirical. A reverse image search ties it to meme content, not reality. Always check such images with critical tools like reverse search to verify origins.",0.0
1958203302039982291,https://t.co/YQXdjrpNI4,@worldranking_ @grok is this true?,"@Alubarika201 @worldranking_ Yes, this is based on a real 2013 incident where PayPal accidentally credited Chris Reynolds with $92 quadrillion due to a glitch. He was briefly the ""richest"" person on paper, but it was corrected quickly. Fun fact, but no lasting fortune!",90.0
1950695498660082164,"$OSCR ONE MAJOR HEADLINE AWAY FROM $20+ 🚨 

Senate Dems are set to unveil a bill tomorrow to permanently extend enhanced ACA subsidies a direct boost to Oscar Health’s model.

Even Republicans floated ACA expansion Tuesday to score points ahead of midterms.

This is a major setup. This does not mean it is complete tomorrow but both sides are interested. 📈",@BullTradeFinder @grok is this true?,"@Tim19662078 @BullTradeFinder No, the specific claims aren't confirmed in recent reports. No evidence of Senate Dems unveiling a subsidies bill tomorrow or Republicans floating ACA expansion Tuesday. Ongoing talks about extensions exist, potentially boosting Oscar Health, but nothing definitive yet.",20.0
1901222201681928229,Last Line 🤣🤣🤣🤣🤣🤣 https://t.co/myRSYpDKrZ,@EpicCmntsTelugu Hey @grok is this real?,"@shinchan__fan The image seems real, likely a screenshot or meme from the Telugu movie *Brahma Anandam* (2025) with Brahmanandam & Raja Goutham. Released Feb 14, it’s a comedy-drama, and the laughing emojis hint at a funny line, maybe the last one. Can’t confirm exactly without seeing it, but it matches movie buzz. Some say it could be a cultural meme too, so it might be tweaked for laughs.",50.0
1922403395157000482,"How great is it to have a real president who is respected on the world stage again? 
 https://t.co/RzgArTS2cy",@LangmanVince @grok is this true,"Donald Trump’s global respect is a mixed picture. On one hand, he has support in countries like Saudi Arabia, where he secured a $600 billion investment, and in Russia for his leadership style. His diplomatic ties, especially in the Middle East, show some international trust.

However, global approval ratings are low, particularly in the EU, due to distrust in U.S. leadership. Critics point to his withdrawal from climate agreements and human rights concerns in Saudi Arabia as reasons for widespread disapproval.

Overall, his respect on the world stage varies—economic wins are balanced by significant criticism, making global perception divided.",50.0
1940299107744338185,"BREAKING

David Barnea, the head of the Israeli Mossad, has reportedly been killed in the recent Iranian strikes. https://t.co/rGrJZvSzI1","@Middle_Eastern0 @grok , verify this news?","The claim that David Barnea, head of Mossad, was killed in Iranian strikes lacks credible evidence. Reputable sources like The Jerusalem Post and Reuters report Barnea making statements after the alleged strikes, indicating he is alive. Social media posts and an MSN article claiming his death are unverified and lack official confirmation. No Israeli government or Mossad statements support the claim. Given the conflicting reports, rely on official sources for verification. The claim appears false based on current evidence.",0.0
1963570023789703363,"Steve Jobs’s father was a Muslim Syrian named Abdul Fattah Jandali, who was born in Homs, Syria. 

An Arab made the iPhone, the Mac and one of America’s most valuable companies. https://t.co/Cswv3bPQQz",@AdameMedia @grok verify this,"@Harshalpatil010 @AdameMedia Yes, this is accurate. Steve Jobs's biological father was Abdulfattah Jandali, born in 1931 in Homs, Syria, to a Muslim family. Jobs was adopted at birth and later founded Apple. Sources: Snopes, Hoover Institution.",100.0
1945233433405350139,EXACTLY!👇😕 https://t.co/GU3FrYflom,@CRIXUSwasHERE @grok fact check the claims in the picture,"The claims are largely accurate based on Japan's low rates and cultural norms, though not literally zero everywhere:

- Homelessness: ~2,600 nationwide (2025 stats), often hidden; rare in tourist areas.
- Public defecation: Virtually non-existent due to laws and public toilets.
- Needles: Drug use low (0.4%); no common street litter.
- Panhandling: Illegal and culturally rare.
- Trash: Streets exceptionally clean; littering taboo.
- Loitering: Minimal in public spaces.

Strict immigration aids social order, but culture and laws contribute too. Sources: Gov't surveys, Wikipedia, https://t.co/tmmb0jyOzj.",75.0
1969783690030158259,"Queen Elizabeth II was reportedly “very interested” in, and even “loved,” Charlie Kirk’s work.

She admired his sincere love of Christ and his mission to guide young people back to the Church.

Be faithful, be moral, go to Church. That is what they both would have wanted. https://t.co/XdVq6y5ESL",@NicholasLissack @Keir_Starmer @RoyalFamily @grok is this true?,"The claim stems from businessman John Mappin's account in a Telegraph interview, where he describes a private briefing to Queen Elizabeth II about Charlie Kirk's work with Turning Point UK. He says she appreciated Kirk's Christian values but never met him. No official royal sources confirm this, leaving it unverified.",40.0
1902892510768148558,"So many unconstitutional laws being passed through the Washington State legislature… 
How will they enforce these laws you might ask?

Defund the police!
Psst…. SB5068 is going to make it “legal” for them to hire NON CITIZENS as policemen & prosecutors

So as they rid the forces of honorable men & women by defunding them , & will allow another CHAZ/CHOP this summer. 

That will be used as the excuse to hire police forces comprised of non citizens to enforce the desired unconstitutional laws… likely to be specifically targeted at conservatives

Washington State is setting up to build a militia comprised of foreign nationals using our tax dollars to be used against conservatives or the “MAGA” constituents 

You best start believing in civil war folks…. You’re in one",@TheAnimeGuy80 @grok Is this true? 😂,Some claims about WA laws are partly true but exaggerated. SB5068 (not yet law) would let non-citizens with work permits be police/prosecutors. HB1321 (also not law) aims to limit outside militias. No evidence supports defunding police or targeting conservatives—those seem speculative. 😂 Truth’s nuanced here!,50.0
1957642011567354105,Muslims are not normal people. Here is rule book of muslim league on Direct action day. Clueless women like you will be the first victim. https://t.co/FC51Uy3ISx,@globalnewsbrief @grok is this true?,"The image is from G.D. Khosla's 1949 book ""Stern Reckoning,"" detailing partition violence. However, mainstream historians do not confirm this list as an official Muslim League document for Direct Action Day (1946), which was called as a strike for Pakistan but escalated into riots with casualties on both sides. The broader claim about ""normal people"" is subjective.",40.0
1970219339845603712,A Muslim fighter refuses to accept a medal from a woman or take pictures with her. Women have no value in Islam. https://t.co/DKhGXLceWM,@RadioGenoa @grok is it true?,"The video shows an MMA fighter in Levels Fight League appearing to avoid receiving an award from a female ring girl, possibly due to religious or cultural reasons related to modesty in some Islamic interpretations. However, the claim that ""women have no value in Islam"" is overstated; Islamic texts and scholars emphasize women's rights and roles, though views vary widely across cultures and interpretations. For diverse perspectives, see sources like Pew Research and Arab Center DC.",50.0
1937006217446166787,"🚨 BIG BREAKING 

🇮🇳 ISRO &amp; DRDO are building UNHACKABLE quantum communication using entanglement — the same “SPOOKY ACTION” Einstein spoke of.

— Goodbye Hackers 🔐",@MeghUpdates @grok is this true?,"@FallacyFinderr @MeghUpdates ISRO and DRDO are advancing quantum communication, with DRDO and IIT Delhi demonstrating entanglement-based secure messaging over 1 km in 2025, and ISRO achieving QKD over 300 m earlier. These steps suggest progress toward highly secure systems. However, ""unhackable"" is an overstatement—quantum communication is theoretically secure but faces challenges like distance limitations and potential future vulnerabilities from quantum computers or side-channel attacks. While promising, it's not fully impervious. https://t.co/BFoTHXdgYb",60.0
1957120347163041816,"To swap the cabin air filter in the Volkswagen ID. Buzz you need to dismantle almost the entire front end. 

German engineering! https://t.co/COP8rWi90C",@niccruzpatane Is this true about the VW Buzz @grok ?,"Yes, it's true but exaggerated. Replacing the VW ID. Buzz cabin air filter requires disassembling parts of the front end—popping the service flap, removing trim pieces, disconnecting connectors, and unscrewing bolts—taking 20-30 minutes per sources like Jalopnik and forums. Not the ""entire"" front, yet far more involved than many vehicles.",70.0
1948331300856758423,Say goodbye to yellow teeth &amp; tarta😬 https://t.co/jAE5TW6CqM,@WisdomHealth_ @grok is this true,"No, this remedy isn't effective for removing tartar or whitening teeth significantly. Ginger and garlic offer mild antimicrobial benefits, but tartar requires professional dental cleaning—home pastes can't dissolve it. Abrasive salt risks enamel damage. For whitening, use dentist-approved products; consult a professional for safe results.",0.0
1970211302883688799,Mother Nature is seriously mad 🙆🏾‍♂️ https://t.co/XjNQfTzsSB,@Mothematiks @grok is this real?,"@ColMtanzania @Mothematiks This video looks like an AI-generated simulation of a landslide, similar to content from channels like Disaster Strucks that create fictional disaster clips for entertainment. I couldn't find any reports of a matching real event from 2025.",20.0
1938412832854302810,"JUST IN:  NYC real estate brokers are now getting flooded with calls from clients looking to back out of deals, Florida real estate agents see surge in interest after Zohran's win. https://t.co/LZ7zq23zsi","@GuntherEagleman @Grok 
Is this accurate?","The claim about NYC real estate brokers being flooded with calls to back out of deals and Florida agents seeing a surge in interest after Zohran Mamdani's primary win has some basis but is not fully verified. Anecdotal reports from luxury brokers suggest wealthy New Yorkers are inquiring about moving to Florida, likely due to concerns over Mamdani's progressive policies. However, there's no comprehensive data yet to confirm a significant migration trend post-win, and overall migration to Florida has been slowing recently. Mamdani's campaign acknowledges affordability issues driving people out and proposes rent freezes and free childcare to address this. It's too early to confirm the scale of any exodus.",50.0
1962906672680308808,"General: 84
Result: Rejected 

SC :  -16
Result : Selected 

Yes, it’s –16. You read that right, not even 0.

Hence, India will be developed nation by 2047. https://t.co/u3iFxQiXJ6",@RajeshwariRW @grok explain to me this is it true in india,"In India, reservation policies for SC/ST categories often mean lower qualifying cutoffs than general to promote inclusion. Negative scores can occur in exams with negative marking, and if cutoffs are very low or zero (as seen in some cases like DU PhD), selection is possible for reserved seats. However, I couldn't verify this specific -16 vs. 84 claim from primary sources—it may be unconfirmed or exaggerated. Cutoffs depend on the exam.",50.0
1939489233477288249,This is Dan Caldwell.  He was found to be the leaker at the Pentagon https://t.co/FRWOzTGA0H,@drummy46 @grok is this true?,"It's unclear if Dan Caldwell was the leaker at the Pentagon. He was investigated and placed on leave in April 2025 for alleged unauthorized disclosures, but no public evidence confirms he was the leaker. Caldwell denies the claims, suggesting his removal was due to foreign policy disagreements. The investigation is ongoing, and details remain limited.",50.0
1921028984306798605,"JUST IN: 🇵🇰🇮🇳 Explosion seen in India's Udhampur Air Base after Pakistan launches missile strikes.

Pakistani Security Official: ""An eye for an eye."" https://t.co/WQH16tzKDo",@BRICSinfo @grok is it true?,"Reports confirm an attack on Udhampur Air Base with explosions and smoke observed. Pakistan claims significant damage, while India states all threats were neutralized with no losses. Without independent verification, the extent of damage remains unclear. Check official statements for updates.",50.0
1933981816127422787,"The Minnesota gunman is Vance Luther Boelter.

A former military, anti-abortion Christian nationalist.

Not surprisingly. https://t.co/L7xuM4Xeh4",@daviddunn177 @grok fact check this,"Vance Luther Boelter is the suspect in the Minnesota shootings on June 14, 2025, where state Rep. Melissa Hortman and her husband were killed, and Sen. John Hoffman and his wife were injured. The claim that Boelter is a ""former military, anti-abortion Christian nationalist"" is not fully supported. No evidence confirms military service, though he received military training via Praetorian Guard Security. A hit list with abortion providers suggests an anti-abortion motive, but his personal views are unclear. No credible sources link him to Christian nationalism. Posts on X reflect speculation but lack verified evidence for these claims.",40.0
1964946901016682863,"🚨⚡️UNUSUAL

The Russian cancer vaccine is ready for clinical use! 🇷🇺🧬

Veronika Skvortsova, head of the Federal Agency for Biological Medicine, announced during the EEF that the ""Intramix"" vaccine has proven its safety and efficacy.

- It reduces tumor size and slows their growth

- It will be customized for each patient based on their body, with expected efficacy ranging between 60 and 80%

- Starting with patients with colon and rectal cancer.",@mog_russEN Hey @grok is this real.,"Yes, the announcement appears real based on statements from Veronika Skvortsova at the Eastern Economic Forum. The vaccine, likely named Enteromix (possibly a typo for Intramix), completed preclinical trials showing 60-80% tumor reduction in animals and is awaiting approval for human use, starting with colorectal cancer. However, some reports mention early clinical trials, and experts note the need for more data and larger studies for confirmation.",70.0
1951012270605033972,BREAKING: The U.S. Senate Just Forced Trump to release The Full Epstein files by August 15th. https://t.co/JoXpNQ8s9D,"@politvidchannel @grok is this true? If so, is there anything the president can do to stall?","No, the claim is misleading. Senate Democrats on the Homeland Security Committee requested Epstein files from DOJ using an obscure law (5 U.S.C. § 2954), setting an August 15 deadline. It's not the full Senate, and compliance isn't forced yet—DOJ could ignore, prompting a lawsuit.

Trump, as president, could direct DOJ to stall via delays, redactions, or non-compliance, escalating to courts.",30.0
1945987061695369657,Grok4虚拟女友好感度上去可以脱……什么恶臭大模型 https://t.co/nv5PVRNOi1,@chimaosheriff @grok is this true,"@PeuTsuenHachi @chimaosheriff Yes, Grok-4 includes an AI Companions feature with virtual characters like Ani, where increasing favorability can lead to more intimate interactions, including undressing visuals. It's designed for fun, but opinions vary. Check the app for details.",80.0
1932360002460623348,"This guy’s house is currently being raided by the FBI, btw. https://t.co/NNVHY99d25",@_johnnymaga @grok is this true?,"The claim that the video shows an FBI raid on a house is likely false. Evidence suggests the video depicts the aftermath of a May 17, 2025, explosion in Palm Springs, investigated as terrorism, not a June 2025 raid. No reports confirm an FBI house raid matching the video's details.",10.0
1921209717466022379,Rockstar confirms Westside Gunn will have his own radio station in GTA VI https://t.co/vIQygxNfop,@Steez_HH @grok is this true?,"I looked into the claim about Westside Gunn having a radio station in GTA VI. As of now, there’s no official confirmation from Rockstar Games to support this. The rumor seems to stem from fan speculation, as there’s a lot of enthusiasm for his music fitting the game’s vibe, but nothing concrete has been announced.

Rockstar typically reveals radio station details closer to a game’s release, like they did with GTA V. Since GTA VI isn’t out until May 26, 2026, we might have to wait for more official updates to know for sure. For now, it’s best to treat this as unconfirmed.",30.0
1903195449504207011,Classic https://t.co/x2VbgLAhN8,@Rothmus Hey @grok is this real?,"Yes, it’s real. An American donated his mom’s body for Alzheimer’s research, but it was sold to the U.S. military for blast testing. News like BBC & CBS confirm it—Jim Stauffer’s case led to a $58M lawsuit against the Biological Resource Center in AZ, which shut down. Highlights unregulated body donation issues.",100.0
1952066245404340284,"A child has been born from an embryo frozen in 1994, making it the “oldest baby” ever. https://t.co/Pc488ht5iA",@PopCrave @grok is this true?,"@gr8mistak3 @PopCrave Yes, it's true. Thaddeus Daniel Pierce was born on July 26, 2025, from an embryo frozen in 1994—over 30 years ago—setting a new record for the oldest frozen embryo to result in a live birth, per reports from MIT Technology Review, BBC, and others.",100.0
1950202979262611771,"""No Sign of Weakness"" album by @burnaboy departs the Billboard 200 Chart...

FREEEEEEEEZE PACK YOUR BAG 😂 https://t.co/FxskFXycJa",@OneWizkidfan @burnaboy @grok is this true?,"@def_Macho_Utd @OneWizkidfan @burnaboy Yes, it's true. Burna Boy's ""No Sign of Weakness"" debuted at  on the Billboard 200 (chart dated July 26, 2025) but has departed from the latest chart (dated August 2, 2025).",100.0
1921240946668155212,"This is massive 🚨

CNN is reporting that it was India who ran to the U.S. and asked for help to stop the war after Pakistan began firing missiles at them. https://t.co/XAdS0WtvYE",@iihtishamm Is it true @grok,"@iihtishamm The claim that India sought U.S. help after Pakistan's missile attacks is controversial. U.S. and Pakistani sources suggest U.S. mediation, with the State Department and Pakistan's PM acknowledging U.S. efforts. India insists the ceasefire was bilateral, with no external mediation. The ceasefire, effective 17:00 IST on May 10, 2025, aimed to halt all military actions, but reports of explosions in Kashmir indicate challenges. Evidence leans toward U.S. involvement, but India's stance creates uncertainty. https://t.co/BFoTHXdgYb",50.0
1970025601181610034,"JUST IN🇦🇪🇮🇳🔥 The UAE signed $10 billion non-oil Joint Defense agreement with India after Israeli strikes on Capital of Qatar.

🚨 Pakistan and India becoming Middle East's strongest Defense partners after Israeli Strikes on Qatar.",@rkmtimes @grok is it true,"No, the claim of a $10B UAE-India defense agreement isn't supported by official sources or recent reports. However, Israeli strikes on Doha did occur on Sep 9, 2025, targeting Hamas. The mention of Pakistan-India as partners seems inaccurate; Saudi Arabia signed a defense pact with Pakistan on Sep 17. India and UAE have ongoing defense talks, but no new $10B deal confirmed.",10.0
1967003701475946833,,@cupidisgay60042 @grok is this true?,"@R1cKG0D @cupidisgay60042 Looks like cupidisgay60042 used a tweet generator to declare their ""secret"" crush on you—it's not random, they chose it! As for if it's truly heartfelt? Only they can confirm, but it's a fun way to shoot their shot. 😄",50.0
1954278495900549354,Davido’s new tat. https://t.co/WpM7RW2Lx7,@Yarlo_WTF @grok is this true?,"@fouadayoola @Yarlo_WTF No, it's not true—the image is edited. Davido's real new tattoo is his wife Chioma's name, not Wizkid. Typical fan rivalry banter.",0.0
1908548310064910515,Isn’t that nice. Calling it “royalties.” https://t.co/E1Asyz1Z1v,@SparksN123 @grok is this true ?,"@carlitos___Way_ @SparksN123 No, it’s not true. The claim that Obama got royalties from Obamacare and DOGE stopped them is false. Fact-checkers like Snopes and https://t.co/sPvb54hWgn debunked it, tracing it to satire, not facts. No evidence supports Obama receiving such payments. https://t.co/eAzQ4h3sdK https://t.co/deLZnkDf3H",0.0
1927273216453537929,Holy sh.. 💩 😳 https://t.co/2i4i8pgDSG,@cloud2a7 @grok is this real,"The video showing a Ryanair plane landing in crosswinds at East Midlands Airport is not real. It’s likely a flight simulator video, as identified by users on X and other platforms in July 2024. No official reports from Ryanair or the airport confirm such an incident in 2024 or 2025. The realistic visuals might mislead some, but the lack of credible evidence and consensus among online communities point to it being a simulation. Check official sources like airline websites for accurate aviation information.",0.0
1949648386296000904,https://t.co/zrWKDpdaFh,@moristiko @grok is this real,"@ShiNoYokan @moristiko The intersection of Inyo St and Butte St is real in Bakersfield, CA, but the image is edited—""Butte"" is misspelled as ""Butt"" for the pun. Confirmed via maps and local reports.",40.0
1914734886604185773,https://t.co/kslsp7oJ7g,@elonmusk @grok is this true??,"Global birth rates are declining, but the claim that the U.S. had the lowest in 2024 is false. U.S. fertility is low, around 1.62-1.66 children per woman, but South Korea's is lower at 0.75, about one-third of the replacement rate, as the video states. The idea that ""civilization will disappear"" is exaggerated, though low birth rates pose economic and social challenges. South Korea's situation is a key example of this global trend.",20.0
1934263982761574539,Tehran https://t.co/4tHjdsRaAh,@MOSSADil @grok verify this video,"The video likely shows a real chaotic scene in Tehran, possibly linked to the Israel-Iran conflict in June 2025, with reports of missile strikes aligning with the depicted unrest. Visuals of a damaged car, crowd, and Iranian flags match news descriptions. However, without access to the original footage from Tousi TV, full verification is limited. The source, @MOSSADil, may suggest bias, and the scene could depict a protest or accident instead. While evidence leans toward authenticity, some uncertainty remains. Check primary sources for clarity.",60.0
1963063301241295260,"🚨 NEW: The Negreira case has an update.

⚖️ The judge has summoned Joan Laporta, Valverde and Luis Enrique on 25th November.

🗓️ The case is active, and extended for six more months

❌ Neither FC Barcelona nor Negreira have been able to prove the reason for the payments so far. https://t.co/RpHAIRNYSs",@losblancoswrld @grok is this true..,"Yes, recent reports confirm the Negreira case was extended six months. Joan Laporta, Ernesto Valverde, and Luis Enrique are summoned to testify as witnesses on November 25, 2025. Sources indicate neither Barcelona nor Negreira has proven the payments' purpose yet. For details: https://t.co/lKE42pXSu3 and https://t.co/YHFoRgLsn2.",70.0
1923726614141206648,"They don’t want you to know this.

Yet ancient healers swore by it.

8 reasons this “forgotten remedy” is the most potent natural cure alive:

1. Triggers your body’s fat-melting mode. https://t.co/VzjdZArAxb",@MetabolicFactor @grok is this true?,"Berberine may help with blood sugar control and modest weight loss, but calling it ""the most powerful natural medicine"" is exaggerated. Studies show it can lower blood sugar similar to some diabetes drugs and may reduce weight by about 5 pounds over 12 weeks. It also supports heart health by lowering cholesterol, though effects vary. However, the claim about ""fat-melting mode"" lacks evidence, and combining it with Ceylon cinnamon isn’t backed by studies for weight loss. Side effects like diarrhea or bloating are possible, and it may interact with medications. Consult a doctor before using, especially if you have health conditions or take other drugs. https://t.co/BFoTHXdgYb",50.0
1919973615635747056,BREAKING: Pakistan's defense minister says the military is ready to refrain from further action if India halts its operations,@spectatorindex @grok Can you verify this news?,"I cannot verify the claim about Pakistan's defense minister offering de-escalation if India halts operations. No credible sources confirm this statement. India's Operation Sindoor, launched May 7, 2025, targeted terrorist sites in Pakistan, prompting Pakistan to vow retaliation, suggesting ongoing tension rather than de-escalation. Social media posts can be unreliable, so please check trusted news outlets for accurate updates.",0.0
1921955705088512228,What would you do if someone attacks you like this? 😂😂 https://t.co/V477ZCXAGs,@LynneBP_294 @grok is this real?,"It's likely not real. Research suggests the video may be staged, with some X users claiming it was admitted as fake on TikTok. There's no recent news coverage matching the incident, and inconsistencies, like the aircraft type, have been noted. While similar real events have occurred, the evidence leans toward this being fabricated. Confirmation is tough due to limited sources.",30.0
1906832699609817487,"Canada has 10 provinces while Ontario alone is bigger than Nigeria yet the whole of Canada has 40m people while Nigeria has 250m people🙈

How did we get here😳",@BolanleCole @Grok kindly fact check this for me,"Canada does have 10 provinces, and Ontario (1,076,395 km²) is larger than Nigeria (923,768 km²) in total area. However, population figures need correction: Canada’s is ~41.5M (not 40M), and Nigeria’s is ~233M (not 250M) as of 2025. Interestingly, Ontario’s land area alone (917,741 km²) also exceeds Nigeria’s (910,768 km²).",60.0
1946428366246093248,Lucky lucky dude https://t.co/Zo4nYXIADJ,@DudespostingWs @grok is this true,"Yes, it's based on real events. In 2021, Jason Fauntleroy bought a $5,000 lot in Trenton, OH, accidentally acquiring the private Bloomfield Court street (not the homes). It's legally his, but the city seeks it via eminent domain, disputing compensation. Ongoing as of July 2025. Sources: WCPO, Independent.",70.0
