m_id,label,m_id.1,t_text,m_text,l_text,l_score,m_id.2,m_id.3,m_id.4,m_id.5,m_id.6,m_id.7,m_id.8,m_id.9,m_id.10,m_id.11,m_id.12,m_id.13,m_id.14,m_id.15,m_id.16,m_id.17,m_id.18,m_id.19,m_id.20,m_id.21,m_id.22,m_id.23,m_id.24,m_id.25,m_id.26,m_id.27,m_id.28,m_id.29,m_id.30,m_id.31,m_id.32,m_id.33,m_id.34,m_id.35,m_id.36,m_id.37,m_id.38,m_id.39,m_id.40,m_id.41,m_id.42,m_id.43,m_id.44,m_id.45,m_id.46,m_id.47,m_id.48,m_id.49,m_id.50,m_id.51,m_id.52,m_id.53,m_id.54,m_id.55,m_id.56,m_id.57,m_id.58,m_id.59,m_id.60,m_id.61,m_id.62,m_id.63,m_id.64,m_id.65,m_id.66,m_id.67,m_id.68,m_id.69,m_id.70,m_id.71,m_id.72,m_id.73,m_id.74,m_id.75,m_id.76,m_id.77,m_id.78,m_id.79,m_id.80,m_id.81,m_id.82,m_id.83,m_id.84,m_id.85,m_id.86,m_id.87,m_id.88,m_id
1900370146033885321,False,,"Trump: ""I invaded Los Angeles and we opened up the water and the water is now flowing down. They have so much water they don't know what to do ... we broke in to do it."" https://t.co/p2A8Yql9VN",@atrupar @grok fact check,"- Trump’s claim “I invaded Los Angeles and we opened up the water” is likely false per evidence.  
- No military invasion of LA occurred; water was released from Central Valley dams, not LA.  
- Release didn’t aid LA firefighting, aimed at agriculture, and risked flooding farms.  
- Statement misleads by mixing regions and exaggerating impact.",10.0,,,,,,,,,,1.9003701460338847e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934234672747135408,False,,"people be like ""grok is this real"" https://t.co/rXN4zxBqH2",@sushilaps @grok  is this real,"The image you asked about isn't real. It depicts a creature called Boneca Ambalabu, part of the ""Italian Brainrot"" meme trend from early 2025, featuring AI-generated surreal characters for humor. The frog head, tire body, and human legs are biologically impossible. Sources like Wikipedia and Know Your Meme confirm it's fictional. Some YouTube videos claim it's real, but they're likely satirical. A reverse image search ties it to meme content, not reality. Always check such images with critical tools like reverse search to verify origins.",0.0,,,,,,,,,,,1.9342346727471355e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958203302039982291,True,,https://t.co/YQXdjrpNI4,@worldranking_ @grok is this true?,"@Alubarika201 @worldranking_ Yes, this is based on a real 2013 incident where PayPal accidentally credited Chris Reynolds with $92 quadrillion due to a glitch. He was briefly the ""richest"" person on paper, but it was corrected quickly. Fun fact, but no lasting fortune!",90.0,,,,,,,,,,,,1.9582033020399823e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950695498660082164,False,,"$OSCR ONE MAJOR HEADLINE AWAY FROM $20+ 🚨 

Senate Dems are set to unveil a bill tomorrow to permanently extend enhanced ACA subsidies a direct boost to Oscar Health’s model.

Even Republicans floated ACA expansion Tuesday to score points ahead of midterms.

This is a major setup. This does not mean it is complete tomorrow but both sides are interested. 📈",@BullTradeFinder @grok is this true?,"@Tim19662078 @BullTradeFinder No, the specific claims aren't confirmed in recent reports. No evidence of Senate Dems unveiling a subsidies bill tomorrow or Republicans floating ACA expansion Tuesday. Ongoing talks about extensions exist, potentially boosting Oscar Health, but nothing definitive yet.",20.0,,,,,,,,,,,,,1.9506954986600824e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901222201681928229,Uncertain,,Last Line 🤣🤣🤣🤣🤣🤣 https://t.co/myRSYpDKrZ,@EpicCmntsTelugu Hey @grok is this real?,"@shinchan__fan The image seems real, likely a screenshot or meme from the Telugu movie *Brahma Anandam* (2025) with Brahmanandam & Raja Goutham. Released Feb 14, it’s a comedy-drama, and the laughing emojis hint at a funny line, maybe the last one. Can’t confirm exactly without seeing it, but it matches movie buzz. Some say it could be a cultural meme too, so it might be tweaked for laughs.",50.0,,,,,,,,,,,,,,1.901222201681928e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922403395157000482,Uncertain,,"How great is it to have a real president who is respected on the world stage again? 
 https://t.co/RzgArTS2cy",@LangmanVince @grok is this true,"Donald Trump’s global respect is a mixed picture. On one hand, he has support in countries like Saudi Arabia, where he secured a $600 billion investment, and in Russia for his leadership style. His diplomatic ties, especially in the Middle East, show some international trust.

However, global approval ratings are low, particularly in the EU, due to distrust in U.S. leadership. Critics point to his withdrawal from climate agreements and human rights concerns in Saudi Arabia as reasons for widespread disapproval.

Overall, his respect on the world stage varies—economic wins are balanced by significant criticism, making global perception divided.",50.0,,,,,,,,,,,,,,,1.9224033951570004e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940299107744338185,False,,"BREAKING

David Barnea, the head of the Israeli Mossad, has reportedly been killed in the recent Iranian strikes. https://t.co/rGrJZvSzI1","@Middle_Eastern0 @grok , verify this news?","The claim that David Barnea, head of Mossad, was killed in Iranian strikes lacks credible evidence. Reputable sources like The Jerusalem Post and Reuters report Barnea making statements after the alleged strikes, indicating he is alive. Social media posts and an MSN article claiming his death are unverified and lack official confirmation. No Israeli government or Mossad statements support the claim. Given the conflicting reports, rely on official sources for verification. The claim appears false based on current evidence.",0.0,,,,,,,,,,,,,,,,1.9402991077443384e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963570023789703363,True,,"Steve Jobs’s father was a Muslim Syrian named Abdul Fattah Jandali, who was born in Homs, Syria. 

An Arab made the iPhone, the Mac and one of America’s most valuable companies. https://t.co/Cswv3bPQQz",@AdameMedia @grok verify this,"@Harshalpatil010 @AdameMedia Yes, this is accurate. Steve Jobs's biological father was Abdulfattah Jandali, born in 1931 in Homs, Syria, to a Muslim family. Jobs was adopted at birth and later founded Apple. Sources: Snopes, Hoover Institution.",100.0,,,,,,,,,,,,,,,,,1.963570023789704e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945233433405350139,True,,EXACTLY!👇😕 https://t.co/GU3FrYflom,@CRIXUSwasHERE @grok fact check the claims in the picture,"The claims are largely accurate based on Japan's low rates and cultural norms, though not literally zero everywhere:

- Homelessness: ~2,600 nationwide (2025 stats), often hidden; rare in tourist areas.
- Public defecation: Virtually non-existent due to laws and public toilets.
- Needles: Drug use low (0.4%); no common street litter.
- Panhandling: Illegal and culturally rare.
- Trash: Streets exceptionally clean; littering taboo.
- Loitering: Minimal in public spaces.

Strict immigration aids social order, but culture and laws contribute too. Sources: Gov't surveys, Wikipedia, https://t.co/tmmb0jyOzj.",75.0,,,,,,,,,,,,,,,,,,1.94523343340535e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969783690030158259,Uncertain,,"Queen Elizabeth II was reportedly “very interested” in, and even “loved,” Charlie Kirk’s work.

She admired his sincere love of Christ and his mission to guide young people back to the Church.

Be faithful, be moral, go to Church. That is what they both would have wanted. https://t.co/XdVq6y5ESL",@NicholasLissack @Keir_Starmer @RoyalFamily @grok is this true?,"The claim stems from businessman John Mappin's account in a Telegraph interview, where he describes a private briefing to Queen Elizabeth II about Charlie Kirk's work with Turning Point UK. He says she appreciated Kirk's Christian values but never met him. No official royal sources confirm this, leaving it unverified.",40.0,,,,,,,,,,,,,,,,,,,1.9697836900301583e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902892510768148558,Uncertain,,"So many unconstitutional laws being passed through the Washington State legislature… 
How will they enforce these laws you might ask?

Defund the police!
Psst…. SB5068 is going to make it “legal” for them to hire NON CITIZENS as policemen & prosecutors

So as they rid the forces of honorable men & women by defunding them , & will allow another CHAZ/CHOP this summer. 

That will be used as the excuse to hire police forces comprised of non citizens to enforce the desired unconstitutional laws… likely to be specifically targeted at conservatives

Washington State is setting up to build a militia comprised of foreign nationals using our tax dollars to be used against conservatives or the “MAGA” constituents 

You best start believing in civil war folks…. You’re in one",@TheAnimeGuy80 @grok Is this true? 😂,Some claims about WA laws are partly true but exaggerated. SB5068 (not yet law) would let non-citizens with work permits be police/prosecutors. HB1321 (also not law) aims to limit outside militias. No evidence supports defunding police or targeting conservatives—those seem speculative. 😂 Truth’s nuanced here!,50.0,,,,,,,,,,,,,,,,,,,,1.9028925107681485e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957642011567354105,Uncertain,,Muslims are not normal people. Here is rule book of muslim league on Direct action day. Clueless women like you will be the first victim. https://t.co/FC51Uy3ISx,@globalnewsbrief @grok is this true?,"The image is from G.D. Khosla's 1949 book ""Stern Reckoning,"" detailing partition violence. However, mainstream historians do not confirm this list as an official Muslim League document for Direct Action Day (1946), which was called as a strike for Pakistan but escalated into riots with casualties on both sides. The broader claim about ""normal people"" is subjective.",40.0,,,,,,,,,,,,,,,,,,,,,1.957642011567354e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970219339845603712,Uncertain,,A Muslim fighter refuses to accept a medal from a woman or take pictures with her. Women have no value in Islam. https://t.co/DKhGXLceWM,@RadioGenoa @grok is it true?,"The video shows an MMA fighter in Levels Fight League appearing to avoid receiving an award from a female ring girl, possibly due to religious or cultural reasons related to modesty in some Islamic interpretations. However, the claim that ""women have no value in Islam"" is overstated; Islamic texts and scholars emphasize women's rights and roles, though views vary widely across cultures and interpretations. For diverse perspectives, see sources like Pew Research and Arab Center DC.",50.0,,,,,,,,,,,,,,,,,,,,,,1.970219339845604e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937006217446166787,Uncertain,,"🚨 BIG BREAKING 

🇮🇳 ISRO &amp; DRDO are building UNHACKABLE quantum communication using entanglement — the same “SPOOKY ACTION” Einstein spoke of.

— Goodbye Hackers 🔐",@MeghUpdates @grok is this true?,"@FallacyFinderr @MeghUpdates ISRO and DRDO are advancing quantum communication, with DRDO and IIT Delhi demonstrating entanglement-based secure messaging over 1 km in 2025, and ISRO achieving QKD over 300 m earlier. These steps suggest progress toward highly secure systems. However, ""unhackable"" is an overstatement—quantum communication is theoretically secure but faces challenges like distance limitations and potential future vulnerabilities from quantum computers or side-channel attacks. While promising, it's not fully impervious. https://t.co/BFoTHXdgYb",60.0,,,,,,,,,,,,,,,,,,,,,,,1.9370062174461668e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957120347163041816,True,,"To swap the cabin air filter in the Volkswagen ID. Buzz you need to dismantle almost the entire front end. 

German engineering! https://t.co/COP8rWi90C",@niccruzpatane Is this true about the VW Buzz @grok ?,"Yes, it's true but exaggerated. Replacing the VW ID. Buzz cabin air filter requires disassembling parts of the front end—popping the service flap, removing trim pieces, disconnecting connectors, and unscrewing bolts—taking 20-30 minutes per sources like Jalopnik and forums. Not the ""entire"" front, yet far more involved than many vehicles.",70.0,,,,,,,,,,,,,,,,,,,,,,,,1.9571203471630413e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948331300856758423,False,,Say goodbye to yellow teeth &amp; tarta😬 https://t.co/jAE5TW6CqM,@WisdomHealth_ @grok is this true,"No, this remedy isn't effective for removing tartar or whitening teeth significantly. Ginger and garlic offer mild antimicrobial benefits, but tartar requires professional dental cleaning—home pastes can't dissolve it. Abrasive salt risks enamel damage. For whitening, use dentist-approved products; consult a professional for safe results.",0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.9483313008567583e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970211302883688799,False,,Mother Nature is seriously mad 🙆🏾‍♂️ https://t.co/XjNQfTzsSB,@Mothematiks @grok is this real?,"@ColMtanzania @Mothematiks This video looks like an AI-generated simulation of a landslide, similar to content from channels like Disaster Strucks that create fictional disaster clips for entertainment. I couldn't find any reports of a matching real event from 2025.",20.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.9702113028836887e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938412832854302810,Uncertain,,"JUST IN:  NYC real estate brokers are now getting flooded with calls from clients looking to back out of deals, Florida real estate agents see surge in interest after Zohran's win. https://t.co/LZ7zq23zsi","@GuntherEagleman @Grok 
Is this accurate?","The claim about NYC real estate brokers being flooded with calls to back out of deals and Florida agents seeing a surge in interest after Zohran Mamdani's primary win has some basis but is not fully verified. Anecdotal reports from luxury brokers suggest wealthy New Yorkers are inquiring about moving to Florida, likely due to concerns over Mamdani's progressive policies. However, there's no comprehensive data yet to confirm a significant migration trend post-win, and overall migration to Florida has been slowing recently. Mamdani's campaign acknowledges affordability issues driving people out and proposes rent freezes and free childcare to address this. It's too early to confirm the scale of any exodus.",50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9384128328543027e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962906672680308808,Uncertain,,"General: 84
Result: Rejected 

SC :  -16
Result : Selected 

Yes, it’s –16. You read that right, not even 0.

Hence, India will be developed nation by 2047. https://t.co/u3iFxQiXJ6",@RajeshwariRW @grok explain to me this is it true in india,"In India, reservation policies for SC/ST categories often mean lower qualifying cutoffs than general to promote inclusion. Negative scores can occur in exams with negative marking, and if cutoffs are very low or zero (as seen in some cases like DU PhD), selection is possible for reserved seats. However, I couldn't verify this specific -16 vs. 84 claim from primary sources—it may be unconfirmed or exaggerated. Cutoffs depend on the exam.",50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9629066726803087e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939489233477288249,Uncertain,,This is Dan Caldwell.  He was found to be the leaker at the Pentagon https://t.co/FRWOzTGA0H,@drummy46 @grok is this true?,"It's unclear if Dan Caldwell was the leaker at the Pentagon. He was investigated and placed on leave in April 2025 for alleged unauthorized disclosures, but no public evidence confirms he was the leaker. Caldwell denies the claims, suggesting his removal was due to foreign policy disagreements. The investigation is ongoing, and details remain limited.",50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.939489233477288e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921028984306798605,Uncertain,,"JUST IN: 🇵🇰🇮🇳 Explosion seen in India's Udhampur Air Base after Pakistan launches missile strikes.

Pakistani Security Official: ""An eye for an eye."" https://t.co/WQH16tzKDo",@BRICSinfo @grok is it true?,"Reports confirm an attack on Udhampur Air Base with explosions and smoke observed. Pakistan claims significant damage, while India states all threats were neutralized with no losses. Without independent verification, the extent of damage remains unclear. Check official statements for updates.",50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9210289843067983e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933981816127422787,Uncertain,,"The Minnesota gunman is Vance Luther Boelter.

A former military, anti-abortion Christian nationalist.

Not surprisingly. https://t.co/L7xuM4Xeh4",@daviddunn177 @grok fact check this,"Vance Luther Boelter is the suspect in the Minnesota shootings on June 14, 2025, where state Rep. Melissa Hortman and her husband were killed, and Sen. John Hoffman and his wife were injured. The claim that Boelter is a ""former military, anti-abortion Christian nationalist"" is not fully supported. No evidence confirms military service, though he received military training via Praetorian Guard Security. A hit list with abortion providers suggests an anti-abortion motive, but his personal views are unclear. No credible sources link him to Christian nationalism. Posts on X reflect speculation but lack verified evidence for these claims.",40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9339818161274227e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964946901016682863,True,,"🚨⚡️UNUSUAL

The Russian cancer vaccine is ready for clinical use! 🇷🇺🧬

Veronika Skvortsova, head of the Federal Agency for Biological Medicine, announced during the EEF that the ""Intramix"" vaccine has proven its safety and efficacy.

- It reduces tumor size and slows their growth

- It will be customized for each patient based on their body, with expected efficacy ranging between 60 and 80%

- Starting with patients with colon and rectal cancer.",@mog_russEN Hey @grok is this real.,"Yes, the announcement appears real based on statements from Veronika Skvortsova at the Eastern Economic Forum. The vaccine, likely named Enteromix (possibly a typo for Intramix), completed preclinical trials showing 60-80% tumor reduction in animals and is awaiting approval for human use, starting with colorectal cancer. However, some reports mention early clinical trials, and experts note the need for more data and larger studies for confirmation.",70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9649469010166828e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951012270605033972,False,,BREAKING: The U.S. Senate Just Forced Trump to release The Full Epstein files by August 15th. https://t.co/JoXpNQ8s9D,"@politvidchannel @grok is this true? If so, is there anything the president can do to stall?","No, the claim is misleading. Senate Democrats on the Homeland Security Committee requested Epstein files from DOJ using an obscure law (5 U.S.C. § 2954), setting an August 15 deadline. It's not the full Senate, and compliance isn't forced yet—DOJ could ignore, prompting a lawsuit.

Trump, as president, could direct DOJ to stall via delays, redactions, or non-compliance, escalating to courts.",30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.951012270605034e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
